ft name, total 0, total 1, 0 & diabetes, 0 & no diabetes, 1 & diabetes, 1 & no diabetes,diabetes + 1 / 1,no diabetes + 1 / 1,diabetes + 0/0,no diabetes + 0/0,
'FUROSEMIDE',2356,77,204,2152,21,56,27%,73%,9%,91%,
SHINGLES,2377,56,210,2167,15,41,27%,73%,9%,91%,
PREVIOUS MYOCARDIAL INFARCTION,2418,15,221,2197,4,11,27%,73%,9%,91%,
RIGHT HUMERUS FRACTURE composed of the head,2418,15,221,2197,4,11,27%,73%,9%,91%,
'LEVODOPA ED INIBITORE DELLA DECARBOSSILASI',2418,15,221,2197,4,11,27%,73%,9%,91%,
'METOPROLOLO',2403,30,217,2186,8,22,27%,73%,9%,91%,
'ACIDO ACETILSALICILICO',2215,218,167,2048,58,160,27%,73%,8%,92%,
ECOCOLORDOPPLER LOWER LIMBS. ART.,2384,49,212,2172,13,36,27%,73%,9%,91%,
MULTINFARTUAL ENCEPHALOPATHY,2414,19,220,2194,5,14,26%,74%,9%,91%,
FRACTURE OF LUMBAR VERTEBRAE,2414,19,220,2194,5,14,26%,74%,9%,91%,
CHRONIC HEPATITIS FROM HEPATITIS C,2402,31,217,2185,8,23,26%,74%,9%,91%,
'TAPENTADOLO',2402,31,217,2185,8,23,26%,74%,9%,91%,
CA 19.9 <CARBOHYDRATE ANTIGEN>,2394,39,215,2179,10,29,26%,74%,9%,91%,
'ALLOPURINOLO',2327,106,198,2129,27,79,25%,75%,9%,91%,
TB ADRENAL GLANDS,2425,8,223,2202,2,6,25%,75%,9%,91%,
CHRONIC MYELOPROLIFERATIVE DISEASE,2429,4,224,2205,1,3,25%,75%,9%,91%,
OBESITY,2405,28,218,2187,7,21,25%,75%,9%,91%,
THALASSEMIA MINOR,2425,8,223,2202,2,6,25%,75%,9%,91%,
ACUTE MYOCARDIAL INFARCTION,2429,4,224,2205,1,3,25%,75%,9%,91%,
PULMONARY EMBOLISM,2429,4,224,2205,1,3,25%,75%,9%,91%,
COMPLETE ATRIOVENTRICULAR BLOCK,2429,4,224,2205,1,3,25%,75%,9%,91%,
ATRIAL FLUTTER,2429,4,224,2205,1,3,25%,75%,9%,91%,
CEREBRAL HEMORRHAGE IN THE RIGHT FRONTAL SITE,2429,4,224,2205,1,3,25%,75%,9%,91%,
CIRCULATORY DISORDERS BRAIN,2429,4,224,2205,1,3,25%,75%,9%,91%,
CHRONIC ATROPHIC GASTRITIS,2429,4,224,2205,1,3,25%,75%,9%,91%,
MELENA,2429,4,224,2205,1,3,25%,75%,9%,91%,
KIDNEY CYSTS,2429,4,224,2205,1,3,25%,75%,9%,91%,
CHRONIC PROSTATITIS,2429,4,224,2205,1,3,25%,75%,9%,91%,
COMPLETE UTERO-VAGINAL PROLAPSE,2429,4,224,2205,1,3,25%,75%,9%,91%,
ENDOMETRIAL POLYP,2429,4,224,2205,1,3,25%,75%,9%,91%,
ABORTION,2429,4,224,2205,1,3,25%,75%,9%,91%,
LEFT COXARTHROSIS,2425,8,223,2202,2,6,25%,75%,9%,91%,
PERVIET?ɂǨ OR PERSISTENCE FORAMEN OVALE,2429,4,224,2205,1,3,25%,75%,9%,91%,
FIBULAR FRACTURE,2429,4,224,2205,1,3,25%,75%,9%,91%,
MATTRESS PROTECTION CROSSBAR,2429,4,224,2205,1,3,25%,75%,9%,91%,
ANTI-DECUBITUS AIR MATTRESS,2429,4,224,2205,1,3,25%,75%,9%,91%,
DORSAL SPINE X-ray,2425,8,223,2202,2,6,25%,75%,9%,91%,
ECHO TESTICLES,2429,4,224,2205,1,3,25%,75%,9%,91%,
IONIZED CALCIUM,2429,4,224,2205,1,3,25%,75%,9%,91%,
IMMUNOFIXATION,2425,8,223,2202,2,6,25%,75%,9%,91%,
INTRADERMOREACTION WITH PPD,2429,4,224,2205,1,3,25%,75%,9%,91%,
HEPATITIS B HBcAg Ab [HBV],2429,4,224,2205,1,3,25%,75%,9%,91%,
Individual SEGM. MOTOR REEDUCATION,2429,4,224,2205,1,3,25%,75%,9%,91%,
ANALGESIC ELECTROTHERAPY: TENS,2429,4,224,2205,1,3,25%,75%,9%,91%,
FLUORANGIOGRAPHY<FLUORESCENT ANGIOGRAPHY>,2429,4,224,2205,1,3,25%,75%,9%,91%,
'ADEMETIONINA',2429,4,224,2205,1,3,25%,75%,9%,91%,
'APPARATO URO-GENITALE',2425,8,223,2202,2,6,25%,75%,9%,91%,
'ATENOLOLO ED ALTRI DIURETICI',2429,4,224,2205,1,3,25%,75%,9%,91%,
'CLOMIPRAMINA',2425,8,223,2202,2,6,25%,75%,9%,91%,
'CLONAZEPAM',2425,8,223,2202,2,6,25%,75%,9%,91%,
'CLOTRIMAZOLO',2425,8,223,2202,2,6,25%,75%,9%,91%,
'FERRO TRIVALENTE',2429,4,224,2205,1,3,25%,75%,9%,91%,
'LEVODROPROPIZINA',2429,4,224,2205,1,3,25%,75%,9%,91%,
'NIFEDIPINA',2429,4,224,2205,1,3,25%,75%,9%,91%,
'OLMESARTAN MEDOXOMIL',2425,8,223,2202,2,6,25%,75%,9%,91%,
'SULFAMETOXAZOLO E TRIMETOPRIM',2425,8,223,2202,2,6,25%,75%,9%,91%,
'TADALAFIL',2429,4,224,2205,1,3,25%,75%,9%,91%,
'TELMISARTAN',2425,8,223,2202,2,6,25%,75%,9%,91%,
'TIZANIDINA',2425,8,223,2202,2,6,25%,75%,9%,91%,
'TOLTERODINA',2429,4,224,2205,1,3,25%,75%,9%,91%,
Ulcerative colitis - Crohn's disease,2425,8,223,2202,2,6,25%,75%,9%,91%,
Exemption for disbursement appropriateness,2429,4,224,2205,1,3,25%,75%,9%,91%,
'BISOPROLOLO',2355,78,206,2149,19,59,24%,76%,9%,91%,
PSORIASIS,2400,33,217,2183,8,25,24%,76%,9%,91%,
SKULL CT <BENCEPHALON>,2400,33,217,2183,8,25,24%,76%,9%,91%,
Thoracic AORTA DILATION,2416,17,221,2195,4,13,24%,76%,9%,91%,
EPILEPSY,2420,13,222,2198,3,10,23%,77%,9%,91%,
FRACTURE OF THE DORSAL VERTEBRAE somatic D7,2420,13,222,2198,3,10,23%,77%,9%,91%,
TRANSFERRIN,2420,13,222,2198,3,10,23%,77%,9%,91%,
'MESALAZINA',2420,13,222,2198,3,10,23%,77%,9%,91%,
'POTASSIO CLORURO',2420,13,222,2198,3,10,23%,77%,9%,91%,
'PROMAZINA',2420,13,222,2198,3,10,23%,77%,9%,91%,
ATRIAL FIBRILLATION_1 (my edit),2372,61,211,2161,14,47,23%,77%,9%,91%,
LUMBOSACRAL SPINE X-ray,2385,48,214,2171,11,37,23%,77%,9%,91%,
COBALAMIN <VIT.B12>,2398,35,217,2181,8,27,23%,77%,9%,91%,
FOLATES,2398,35,217,2181,8,27,23%,77%,9%,91%,
HIP PROSTHESIS,2384,49,214,2170,11,38,22%,78%,9%,91%,
SUSPECTED: POLYCYTHEMIA probably. secondary to the s. disventitaloria,2424,9,223,2201,2,7,22%,78%,9%,91%,
ATHEROSCLEROSIS LOWER LIMBS,2424,9,223,2201,2,7,22%,78%,9%,91%,
FRACTURE OF THE LEFT WRIST,2415,18,221,2194,4,14,22%,78%,9%,91%,
PEACE MAKER BEARER,2424,9,223,2201,2,7,22%,78%,9%,91%,
ABDOMEN RX <DIRECT ABDOMEN>,2415,18,221,2194,4,14,22%,78%,9%,91%,
PTH <PARATORMONE>,2424,9,223,2201,2,7,22%,78%,9%,91%,
SMOKE,2424,9,223,2201,2,7,22%,78%,9%,91%,
'BUTILSCOPOLAMINA',2424,9,223,2201,2,7,22%,78%,9%,91%,
'TAFLUPROST',2424,9,223,2201,2,7,22%,78%,9%,91%,
'TIAMAZOLO',2424,9,223,2201,2,7,22%,78%,9%,91%,
Glaucoma,2401,32,218,2183,7,25,22%,78%,9%,91%,
CHLORINE,2410,23,220,2190,5,18,22%,78%,9%,91%,
'TIOCOLCHICOSIDE',2410,23,220,2190,5,18,22%,78%,9%,91%,
CEREBRAL STROKE < CEREBRAL ARTERY OCCLUSION >,2391,42,216,2175,9,33,21%,79%,9%,91%,
INGUINAL HERNIA,2405,28,219,2186,6,22,21%,79%,9%,91%,
Circulatory system affections,2405,28,219,2186,6,22,21%,79%,9%,91%,
Early colorectal diagnosis (everyone aged 45 and over every 5 years),2419,14,222,2197,3,11,21%,79%,9%,91%,
Income and age exemption,1980,453,128,1852,97,356,21%,79%,6%,94%,
'SIMVASTATINA',2283,150,193,2090,32,118,21%,79%,8%,92%,
BRAIN NATRIURETIC PEPTIDE (BNP or NT),2386,47,215,2171,10,37,21%,79%,9%,91%,
HYPERTENSION,1820,613,95,1725,130,483,21%,79%,5%,95%,
IgG IMMUNOGLOBULINS,2395,38,217,2178,8,30,21%,79%,9%,91%,
'ALFUZOSINA',2414,19,221,2193,4,15,21%,79%,9%,91%,
CPK <CREATINKINASE> <CK>,2347,86,207,2140,18,68,21%,79%,9%,91%,
WOUND DRESSING,2390,43,216,2174,9,34,21%,79%,9%,91%,
STROKE,2380,53,214,2166,11,42,21%,79%,9%,91%,
GOUT,2346,87,207,2139,18,69,21%,79%,9%,91%,
'ROSUVASTATINA',2404,29,219,2185,6,23,21%,79%,9%,91%,
100% civilian disabled with accompaniment,2359,74,210,2149,15,59,20%,80%,9%,91%,
K OVARY,2428,5,224,2204,1,4,20%,80%,9%,91%,
POST-SURGICAL HYPOTHYROIDISM,2413,20,221,2192,4,16,20%,80%,9%,91%,
MYELOFIBROSIS,2428,5,224,2204,1,4,20%,80%,9%,91%,
PHARYNGITIS,2428,5,224,2204,1,4,20%,80%,9%,91%,
GASTROESOPHAGEAL REFLUX < GERD >,2428,5,224,2204,1,4,20%,80%,9%,91%,
ACUTE DUODENAL ULCER WITH HEMORRHAGE,2428,5,224,2204,1,4,20%,80%,9%,91%,
LIVER CIRRHOSIS,2428,5,224,2204,1,4,20%,80%,9%,91%,
URTICARIA,2428,5,224,2204,1,4,20%,80%,9%,91%,
BILATERAL GONARTHROSIS,2428,5,224,2204,1,4,20%,80%,9%,91%,
ACUTE URINARY RETENTION,2428,5,224,2204,1,4,20%,80%,9%,91%,
FRACTURE OF THE LEFT FEMUR,2403,30,219,2184,6,24,20%,80%,9%,91%,
ALPHA 1 FETOPROTEIN <S>,2408,25,220,2188,5,20,20%,80%,9%,91%,
CALCITONIN,2428,5,224,2204,1,4,20%,80%,9%,91%,
CALPROTECTIN IMMUNOMETRIC feces,2423,10,223,2200,2,8,20%,80%,9%,91%,
TRANSFERRIN ferrobinding capacity,2428,5,224,2204,1,4,20%,80%,9%,91%,
PSA FREE,2398,35,218,2180,7,28,20%,80%,9%,91%,
'ALTRE SOSTANZE CAPILLAROPROTETTRICI',2428,5,224,2204,1,4,20%,80%,9%,91%,
'ALTRI FARMACI DEL SISTEMA NERVOSO',2428,5,224,2204,1,4,20%,80%,9%,91%,
'BICALUTAMIDE',2428,5,224,2204,1,4,20%,80%,9%,91%,
'CALCITRIOLO',2428,5,224,2204,1,4,20%,80%,9%,91%,
'CARBOIDRATI',2428,5,224,2204,1,4,20%,80%,9%,91%,
'CIANOCOBALAMINA',2423,10,223,2200,2,8,20%,80%,9%,91%,
'CODEINA',2428,5,224,2204,1,4,20%,80%,9%,91%,
'FENOBARBITAL',2428,5,224,2204,1,4,20%,80%,9%,91%,
'LORAZEPAM',2418,15,222,2196,3,12,20%,80%,9%,91%,
'OMEGA-3-TRIGLICERIDI INCLUSI ALTRI ESTERI E ACIDI',2418,15,222,2196,3,12,20%,80%,9%,91%,
'ORGANISMI PRODUTTORI DI ACIDO LATTICO',2418,15,222,2196,3,12,20%,80%,9%,91%,
'PREGABALIN',2418,15,222,2196,3,12,20%,80%,9%,91%,
'TRAMADOLO',2428,5,224,2204,1,4,20%,80%,9%,91%,
'''035'''.1,2428,5,224,2204,1,4,20%,80%,9%,91%,
Circulatory system affections. cerebrovascular,2428,5,224,2204,1,4,20%,80%,9%,91%,
'AMLODIPINA',2321,112,203,2118,22,90,20%,80%,9%,91%,
PSAR,2320,113,203,2117,22,91,19%,81%,9%,91%,
'DUTASTERIDE',2397,36,218,2179,7,29,19%,81%,9%,91%,
'RAMIPRIL',2299,134,199,2100,26,108,19%,81%,9%,91%,
'LANSOPRAZOLO',2345,88,208,2137,17,71,19%,81%,9%,91%,
'PANTOPRAZOLO',2205,228,181,2024,44,184,19%,81%,8%,92%,
SHAPED DIAPER,2381,52,215,2166,10,42,19%,81%,9%,91%,
'ACIDO FOLICO',2407,26,220,2187,5,21,19%,81%,9%,91%,
CEA <EMBRYONIC CARCINO ANTIGEN>,2370,63,213,2157,12,51,19%,81%,9%,91%,
HISTOPATHOLOGY Excisional SKIN BIOPSY,2412,21,221,2191,4,17,19%,81%,9%,91%,
K COLON,2417,16,222,2195,3,13,19%,81%,9%,91%,
SPIROMETRY <BREATHING TESTS>,2417,16,222,2195,3,13,19%,81%,9%,91%,
ANTI THYROGLOBULIN Ab <TG>,2417,16,222,2195,3,13,19%,81%,9%,91%,
INHALATION TREATMENTS,2401,32,219,2182,6,26,19%,81%,9%,91%,
'ACIDO URSODESOSSICOLICO',2401,32,219,2182,6,26,19%,81%,9%,91%,
'DIOSMINA ASSOCIAZIONI',2417,16,222,2195,3,13,19%,81%,9%,91%,
SODIUM,2095,338,162,1933,63,275,19%,81%,8%,92%,
TOTAL MAGNESIUM,2406,27,220,2186,5,22,19%,81%,9%,91%,
LIPASE,2395,38,218,2177,7,31,18%,82%,9%,91%,
'ETORICOXIB',2395,38,218,2177,7,31,18%,82%,9%,91%,
'LEVOTIROXINA SODICA',2319,114,204,2115,21,93,18%,82%,9%,91%,
CHRONIC MYOCARDIAL ISCHEMIA,2422,11,223,2199,2,9,18%,82%,9%,91%,
FRACTURE OF RIBS,2422,11,223,2199,2,9,18%,82%,9%,91%,
LACK OF A FAMILY ABLE TO PROVIDE CARE,2422,11,223,2199,2,9,18%,82%,9%,91%,
'AMIODARONE',2422,11,223,2199,2,9,18%,82%,9%,91%,
'ENOXAPARINA',2361,72,212,2149,13,59,18%,82%,9%,91%,
K UDDLE,2383,50,216,2167,9,41,18%,82%,9%,91%,
Bronchopneumonia,2383,50,216,2167,9,41,18%,82%,9%,91%,
PHOSPHORUS,2405,28,220,2185,5,23,18%,82%,9%,91%,
'FERMENTI LATTICI',2405,28,220,2185,5,23,18%,82%,9%,91%,
Chronic (active) hepatitis,2405,28,220,2185,5,23,18%,82%,9%,91%,
'ELETTROLITI',2388,45,217,2171,8,37,18%,82%,9%,91%,
'CEFTRIAXONE',2416,17,222,2194,3,14,18%,82%,9%,91%,
Malignant neoplasms,2319,114,205,2114,20,94,18%,82%,9%,91%,
THYROID NODULE,2410,23,221,2189,4,19,17%,83%,9%,91%,
AORTIC STENOSIS,2410,23,221,2189,4,19,17%,83%,9%,91%,
ECO SURFACE FABRICS,2410,23,221,2189,4,19,17%,83%,9%,91%,
CHEST X-RAY,2351,82,211,2140,14,68,17%,83%,9%,91%,
LDL CHOLESTEROL,2020,413,156,1864,69,344,17%,83%,8%,92%,
CEREBRAL MENINGIOMA,2427,6,224,2203,1,5,17%,83%,9%,91%,
GOITER,2415,18,222,2193,3,15,17%,83%,9%,91%,
MONOCLONAL GAMMAPATHY of uncertain significance,2373,60,215,2158,10,50,17%,83%,9%,91%,
COXOPHEMORAL ARTHROSIS <COXARTHROSIS>,2427,6,224,2203,1,5,17%,83%,9%,91%,
CERVICAL SPINE SPRAIN,2427,6,224,2203,1,5,17%,83%,9%,91%,
DYSURIA,2427,6,224,2203,1,5,17%,83%,9%,91%,
ANKLE FRACTURE EXTERNAL MALLEOLUS CLOSED,2427,6,224,2203,1,5,17%,83%,9%,91%,
MRI of the brain and brainstem. WITHOUT+CONTROL,2421,12,223,2198,2,10,17%,83%,9%,91%,
MRI LUMBOSACRAL SPINE,2415,18,222,2193,3,15,17%,83%,9%,91%,
BETA2 MICROGLOBULIN,2403,30,220,2183,5,25,17%,83%,9%,91%,
UREA <AZOTEMIA>,2205,228,187,2018,38,190,17%,83%,8%,92%,
TONE AUDIOMETRIC EXAM,2415,18,222,2193,3,15,17%,83%,9%,91%,
'ACETAZOLAMIDE',2427,6,224,2203,1,5,17%,83%,9%,91%,
'ACETILCISTEINA',2409,24,221,2188,4,20,17%,83%,9%,91%,
'ALOPERIDOLO',2427,6,224,2203,1,5,17%,83%,9%,91%,
'ASSOCIAZIONI DI VITAMINE',2427,6,224,2203,1,5,17%,83%,9%,91%,
'BROMAZEPAM',2421,12,223,2198,2,10,17%,83%,9%,91%,
'CIPROFLOXACINA',2343,90,210,2133,15,75,17%,83%,9%,91%,
'FLURBIPROFENE',2427,6,224,2203,1,5,17%,83%,9%,91%,
'FORMOTEROLO E BECLOMETASONE',2427,6,224,2203,1,5,17%,83%,9%,91%,
'LOSARTAN',2427,6,224,2203,1,5,17%,83%,9%,91%,
'MINERALI/VITAMINE/AMINOACIDI/PROTEINE',2391,42,218,2173,7,35,17%,83%,9%,91%,
'OLMESARTAN MEDOXOMIL E AMLODIPINA',2427,6,224,2203,1,5,17%,83%,9%,91%,
'SILODOSINA',2427,6,224,2203,1,5,17%,83%,9%,91%,
'TRAZODONE',2415,18,222,2193,3,15,17%,83%,9%,91%,
Regional Screening,2427,6,224,2203,1,5,17%,83%,9%,91%,
Circulatory system affections. cardiopulmonary,2402,31,220,2182,5,26,16%,84%,9%,91%,
'OMEPRAZOLO',2383,50,217,2166,8,42,16%,84%,9%,91%,
'RAMIPRIL E DIURETICI',2408,25,221,2187,4,21,16%,84%,9%,91%,
POTASSIUM,1870,563,135,1735,90,473,16%,84%,7%,93%,
URINARY INCONTINENCE,2414,19,222,2192,3,16,16%,84%,9%,91%,
V.GYNECOLOGICAL,2395,38,219,2176,6,32,16%,84%,9%,91%,
'BETAISTINA',2414,19,222,2192,3,16,16%,84%,9%,91%,
'CODEINA E PARACETAMOLO',2395,38,219,2176,6,32,16%,84%,9%,91%,
'TAMSULOSINA',2376,57,216,2160,9,48,16%,84%,9%,91%,
NON-TOXIC MULTINODULAR GOITER,2325,108,208,2117,17,91,16%,84%,9%,91%,
STOOL OCCULT BLOOD ON 3 SAMPLES,2363,70,214,2149,11,59,16%,84%,9%,91%,
DUODENAL ULCER,2382,51,217,2165,8,43,16%,84%,9%,91%,
'BECLOMETASONE',2382,51,217,2165,8,43,16%,84%,9%,91%,
PT <PROTHROMBIN TIME INR>,2350,83,212,2138,13,70,16%,84%,9%,91%,
HIATAL HERNIA,2401,32,220,2181,5,27,16%,84%,9%,91%,
'RIFAXIMINA',2401,32,220,2181,5,27,16%,84%,9%,91%,
URICEMIA,1908,525,143,1765,82,443,16%,84%,7%,93%,
HDL CHOLESTEROL,2025,408,162,1863,63,345,15%,85%,8%,92%,
ECG,2284,149,202,2082,23,126,15%,85%,9%,91%,
PERTROCHANTERIC FEMUR FRACTURE,2420,13,223,2197,2,11,15%,85%,9%,91%,
CERVICAL SPINE X-ray,2420,13,223,2197,2,11,15%,85%,9%,91%,
LEFT SHOULDER,2407,26,221,2186,4,22,15%,85%,9%,91%,
LEFT FOOT X-ray,2407,26,221,2186,4,22,15%,85%,9%,91%,
'CARBOCISTEINA',2420,13,223,2197,2,11,15%,85%,9%,91%,
'CLOPIDOGREL',2394,39,219,2175,6,33,15%,85%,9%,91%,
'LERCANIDIPINA',2420,13,223,2197,2,11,15%,85%,9%,91%,
Civil disabled 100%,2329,104,209,2120,16,88,15%,85%,9%,91%,
CARDIAC ECHO <ECOCARDIOGRAPHY>,2334,99,210,2124,15,84,15%,85%,9%,91%,
TRIGLYCERIDES,2010,423,161,1849,64,359,15%,85%,8%,92%,
GLYCEMIA,1784,649,127,1657,98,551,15%,85%,7%,93%,
'MACROGOL ASSOCIAZIONI',2413,20,222,2191,3,17,15%,85%,9%,91%,
TOTAL AND FRACTIONAL BILIRUBIN,2406,27,221,2185,4,23,15%,85%,9%,91%,
OSTEOPOROSIS,2358,75,214,2144,11,64,15%,85%,9%,91%,
BENIGN PROSTATIC HYPERTROPHY transvesical adenomyomectomy,2378,55,217,2161,8,47,15%,85%,9%,91%,
COLONOSCOPY,2378,55,217,2161,8,47,15%,85%,9%,91%,
'DICLOFENAC',2378,55,217,2161,8,47,15%,85%,9%,91%,
PCR <C-REACTIVE PROTEIN>,2273,160,202,2071,23,137,14%,86%,9%,91%,
CHRONIC HEPATITIS C 3rd,2412,21,222,2190,3,18,14%,86%,9%,91%,
K RIGHT,2426,7,224,2202,1,6,14%,86%,9%,91%,
ESSENTIAL THROMBOCYTHEMIA,2426,7,224,2202,1,6,14%,86%,9%,91%,
NON-TOXIC NODULAR GOITER,2426,7,224,2202,1,6,14%,86%,9%,91%,
HEARING IMPAIRMENT,2412,21,222,2190,3,18,14%,86%,9%,91%,
PNEUMONIA,2426,7,224,2202,1,6,14%,86%,9%,91%,
GASTRIC ULCER,2419,14,223,2196,2,12,14%,86%,9%,91%,
GALLBLADSTONE STONES,2321,112,209,2112,16,96,14%,86%,9%,91%,
POLYMYALGIA RHEUMATICA,2426,7,224,2202,1,6,14%,86%,9%,91%,
LIPOTHYMIA,2426,7,224,2202,1,6,14%,86%,9%,91%,
RELEASE OF THE CARPAL TUNNEL,2426,7,224,2202,1,6,14%,86%,9%,91%,
RIGHT MAMMOGRAPHY,2426,7,224,2202,1,6,14%,86%,9%,91%,
RX HIP RX,2384,49,218,2166,7,42,14%,86%,9%,91%,
MUSCLETENDION ECHO,2426,7,224,2202,1,6,14%,86%,9%,91%,
TRANSRECTAL PROSTATE ECHO,2426,7,224,2202,1,6,14%,86%,9%,91%,
BENCE JONES URINE,2405,28,221,2184,4,24,14%,86%,9%,91%,
CONJUNCTIVAL SWAB microrg.+liev,2426,7,224,2202,1,6,14%,86%,9%,91%,
HEPATITIS C GENOMIC TYPING [HCV],2426,7,224,2202,1,6,14%,86%,9%,91%,
URINE CYTOLOGICAL,2426,7,224,2202,1,6,14%,86%,9%,91%,
OPTICAL COHERENCE TOMOGRAPHY,2419,14,223,2196,2,12,14%,86%,9%,91%,
'AMITRIPTILINA',2419,14,223,2196,2,12,14%,86%,9%,91%,
'BRIMONIDINA',2426,7,224,2202,1,6,14%,86%,9%,91%,
'EBASTINA',2426,7,224,2202,1,6,14%,86%,9%,91%,
'IDROCLOROTIAZIDE E FARMACI RISPARMIATORI DI POTASSIO',2412,21,222,2190,3,18,14%,86%,9%,91%,
'KETOROLAC',2426,7,224,2202,1,6,14%,86%,9%,91%,
'METOTREXATO',2426,7,224,2202,1,6,14%,86%,9%,91%,
'NIMESULIDE',2419,14,223,2196,2,12,14%,86%,9%,91%,
'TICLOPIDINA',2426,7,224,2202,1,6,14%,86%,9%,91%,
Chronic renal failure,2426,7,224,2202,1,6,14%,86%,9%,91%,
CREATININE,1746,687,128,1618,97,590,14%,86%,7%,93%,
GAMMA GT <GAMMA GLUTAMIL TRANSP.> <S>,1829,604,140,1689,85,519,14%,86%,8%,92%,
ECHO LOWER ABDOMEN,2383,50,218,2165,7,43,14%,86%,9%,91%,
'ATENOLOLO',2390,43,219,2171,6,37,14%,86%,9%,91%,
TOTAL CHOLESTEROL,1930,503,155,1775,70,433,14%,86%,8%,92%,
T4 FREE <FREE THYROXINE>,2361,72,215,2146,10,62,14%,86%,9%,91%,
GASTROESOPHAGEAL REFLUX,2166,267,188,1978,37,230,14%,86%,9%,91%,
DYNAMIC ECG <HOLTER>,2404,29,221,2183,4,25,14%,86%,9%,91%,
'TIAMFENICOLO',2288,145,205,2083,20,125,14%,86%,9%,91%,
FULL ABDOMEN ECHO,2324,109,210,2114,15,94,14%,86%,9%,91%,
'LEVOFLOXACINA',2353,80,214,2139,11,69,14%,86%,9%,91%,
ECHO KIDNEYS AND ADRENALS,2360,73,215,2145,10,63,14%,86%,9%,91%,
V.CARDIOLOGICA control,2140,293,185,1955,40,253,14%,86%,9%,91%,
GASTROESOPHAGEAL REFLUX WITH GRADE I AND II ESOPHAGITIS < GERD >,2389,44,219,2170,6,38,14%,86%,9%,91%,
MRI RIGHT KNEE,2411,22,222,2189,3,19,14%,86%,9%,91%,
'QUETIAPINA',2411,22,222,2189,3,19,14%,86%,9%,91%,
VARICOSE OF LOWER LIMBS,2418,15,223,2195,2,13,13%,87%,9%,91%,
CHRONIC OBSTRUCTIVE BRONCHITIS < COPD > flared up,2403,30,221,2182,4,26,13%,87%,9%,91%,
RIGHT RENAL COLIC,2403,30,221,2182,4,26,13%,87%,9%,91%,
CHEST CT + CONTRAST,2418,15,223,2195,2,13,13%,87%,9%,91%,
MAGNETIC THERAPY,2418,15,223,2195,2,13,13%,87%,9%,91%,
SOCCER,2110,323,182,1928,43,280,13%,87%,9%,91%,
PROTIDOGRAM + TOTAL PROTEINS,1937,496,159,1778,66,430,13%,87%,8%,92%,
URINE CULTURE <URINE CULTURE>,2350,83,214,2136,11,72,13%,87%,9%,91%,
AST <GOT> <ASPARTATE AMINOTRANSFERASE>,1776,657,138,1638,87,570,13%,87%,8%,92%,
Civilian disabled people over 2/3 < 100%,2365,68,216,2149,9,59,13%,87%,9%,91%,
AMYLASE,2395,38,220,2175,5,33,13%,87%,9%,91%,
ANTI THYROPEROXIDASE Ab <AbTPO>,2410,23,222,2188,3,20,13%,87%,9%,91%,
ALT <GPT> <ALANINE AMINOTRANSFERASE> <S>,1758,675,137,1621,88,587,13%,87%,8%,92%,
Complete urine exam,1842,591,148,1694,77,514,13%,87%,8%,92%,
BLOOD CHROME+FORMULA,1726,707,133,1593,92,615,13%,87%,8%,92%,
HASHIMOTO THYROIDITIS,2379,54,218,2161,7,47,13%,87%,9%,91%,
COLON POLYPS,2402,31,221,2181,4,27,13%,87%,9%,91%,
COPD CHRONIC OBSTRUCTIVE BRONCHITIS,2402,31,221,2181,4,27,13%,87%,9%,91%,
'VALSARTAN',2363,70,216,2147,9,61,13%,87%,9%,91%,
Congenital and acquired hypothyroidism,2394,39,220,2174,5,34,13%,87%,9%,91%,
'PARACETAMOLO',2378,55,218,2160,7,48,13%,87%,9%,91%,
PSA <PROSTATIC SPECIFIC ANTIGEN>,2283,150,206,2077,19,131,13%,87%,9%,91%,
GENERALIZED ARTHROSIS,2354,79,215,2139,10,69,13%,87%,9%,91%,
VES,1935,498,162,1773,63,435,13%,87%,8%,92%,
ESSENTIAL HYPERTENSION,2425,8,224,2201,1,7,13%,88%,9%,91%,
CROHN'S DISEASE_1 (my edit),2425,8,224,2201,1,7,13%,88%,9%,91%,
URINARY TRACT INFECTION,2425,8,224,2201,1,7,13%,88%,9%,91%,
HEAD TRAUMA_1 (my edit),2425,8,224,2201,1,7,13%,88%,9%,91%,
V. NEUROLOGICAL,2401,32,221,2180,4,28,13%,88%,9%,91%,
UROFLOWOMETRY,2417,16,223,2194,2,14,13%,88%,9%,91%,
GLUCOSE LOAD CURVE 75 gr withdrawal 2h,2425,8,224,2201,1,7,13%,88%,9%,91%,
'DOMPERIDONE',2425,8,224,2201,1,7,13%,88%,9%,91%,
'FERROSO SOLFATO',2385,48,219,2166,6,42,13%,88%,9%,91%,
'FOSFOMICINA',2417,16,223,2194,2,14,13%,88%,9%,91%,
'GENTAMICINA',2425,8,224,2201,1,7,13%,88%,9%,91%,
'MACROGOL',2425,8,224,2201,1,7,13%,88%,9%,91%,
'MOMETASONE',2425,8,224,2201,1,7,13%,88%,9%,91%,
'SERTRALINA',2417,16,223,2194,2,14,13%,88%,9%,91%,
'SOTALOLO',2425,8,224,2201,1,7,13%,88%,9%,91%,
TSH <THYROTROPIN>,2212,221,198,2014,27,194,12%,88%,9%,91%,
'PREDNISONE',2392,41,220,2172,5,36,12%,88%,9%,91%,
K PROSTATE,2400,33,221,2179,4,29,12%,88%,9%,91%,
FERRITIN,2314,119,211,2103,14,105,12%,88%,9%,91%,
